,Reference Code,Solution Name (Eng),Cosine Similarity,Business Reference Code
26,S-0260,Mobile platform with handheld devices for on-site inspection and remote work duties,0.7021938562393188,N-0001
27,S-0253,Intelligent Face Mask,0.7011176347732544,N-0001
28,S-0179,"""TeleVoice""  AI Robot Solution for DHS (Demographic and Health Surveys)",0.7009801268577576,N-0001
29,S-0119,Ziizau - Optimization of route design,0.6996622085571289,N-0001
30,S-0060,FROM Network Audit Programs,0.6986673474311829,N-0001
31,S-0169,Robotic Assistant,0.6980700492858887,N-0001
32,S-0203,Government payment scheme online application and data processing,0.69759202003479,N-0001
33,S-0009,Precise And Responsive Indoor Location Tracking,0.6969648003578186,N-0001
34,S-0266,Site Audit and Inspection Recording System,0.6968071460723877,N-0001
35,S-0275,SMore-OCR,0.6961078047752379,N-0001
36,S-0058,IoT Cybersecurity Testing and Certification Program,0.6960161924362183,N-0001
37,S-0004,Euclideon Vault - Smart City IOT 3D visualization,0.696011483669281,N-0001
38,S-0002,DataCube Data Intelligent Automation Solution,0.6939145922660828,N-0001
39,S-0005,Smart Lamp Pole and Robotic,0.6933238506317139,N-0001
40,S-0239,InterOps Accelerator,0.6927273869514465,N-0001
41,S-0093,DataOS System,0.6925692558288574,N-0001
42,S-0254,FormExtractor,0.6912922859191895,N-0001
43,S-0003,GeoSpatial Cloud,0.6910015344619751,N-0001
44,S-0082,A.I. Contact Center and User Engagement Solution,0.6900144219398499,N-0001
45,S-0112,Pyxis - The Internet of Things(IoT) Solution for Construction 2.0 and Beyond,0.687970757484436,N-0001
46,S-0161,LiDAR and Optical Sensing applications for Smart City,0.6849958896636963,N-0001
47,S-0011,Precise Outdoor Crowd Analysis,0.6848920583724976,N-0001
48,S-0016,Cyclops -- Smart City & unmanned store solution,0.6833962202072144,N-0001
49,S-0037,4D Immersive CAVE,0.6815093755722046,N-0001
50,S-0056,Advanced Contextual Analytic Solution for public enquiries,0.6814122796058655,N-0001
51,S-0143,Cyberbit,0.6805082559585571,N-0001
52,S-0125,"BIM, BMS and IoT Integration",0.6794095039367676,N-0001
53,S-0288,Mixed language Chatbot system with AI and voice functions,0.6785115003585815,N-0001
54,S-0029,"Field Services Management System using IoT, GIS and Mobile Technologies",0.6784740686416626,N-0001
55,S-0216,BMC Helix Service & Operations Management,0.6780492663383484,N-0001
56,S-0204,DOLPHIN Indoor Positioning Service (IPS),0.6776609420776367,N-0001
57,S-0263,SafeGuard Series,0.6757417917251587,N-0001
58,S-0235,Pixel Eye Safety Helmets Detection,0.674379825592041,N-0001
59,S-0120,Raspect-ACE,0.6728090643882751,N-0001
60,S-0162,Automate the verification of electronic documents,0.6725264191627502,N-0001
61,S-0259,Software Robotic Solution - iBot,0.6710494756698608,N-0001
62,S-0043,fieldConnect,0.6710134744644165,N-0001
63,S-0035,Document Delivery By Unmanned Vehicle,0.6708348989486694,N-0001
64,S-0220,3D Spatial Intelligence Platform for flow and traffic managements,0.670635461807251,N-0001
65,S-0225,DocAnalyzer - Document Review Solution,0.6705161333084106,N-0001
66,S-0065,Smart Mobility,0.6700061559677124,N-0001
67,S-0137,Splunk,0.6688767671585083,N-0001
68,S-0079,"1/ AccuID, 2/ Pedestrian Analytics, 3/ Vehicle Analytics",0.6685397624969482,N-0001
69,S-0068,Reliability Centered Asset Management - Dynamic (RCAM-dyn),0.6682887077331543,N-0001
70,S-0055,Smart City Electric Vehicle (EV) Charging Infrastructure Solution,0.6675558686256409,N-0001
71,S-0230,STEMHUB Education Platform,0.6667726635932922,N-0001
72,S-0046,SAP Digital Boardroom,0.6650616526603699,N-0001
73,S-0053,Real-Time Origin-Destination Analysis Tool (RODAT）,0.6616338491439819,N-0001
74,S-0089,Smart Infrastructure Projects Planning and Execution,0.6613090634346008,N-0001
75,S-0066,Smart Water Management,0.6612587571144104,N-0001
76,S-0102,Miovision's Portable Solution for Traffic Data Collection,0.6608011722564697,N-0001
77,S-0071,All-in-one Data Center - iDCmini System,0.6606916189193726,N-0001
78,S-0224,OceanX Workflow,0.6585612893104553,N-0001
79,S-0085,SAP Geospatial Asset Management,0.657389223575592,N-0001
80,S-0228,eClass Corporate Learning Management System (LMS),0.6565862894058228,N-0001
81,S-0299,Office Delivery Robot,0.6539934873580933,N-0001
82,S-0174,VR Training & Education System,0.6523970365524292,N-0001
83,S-0045,SAP Big Data Solution,0.6512507200241089,N-0001
84,S-0064,Smart Education(Class VR),0.649282693862915,N-0001
85,S-0219,"VR Virtual Store, Training & Education System",0.6485778093338013,N-0001
86,S-0281,"Smart 5G Integrated Multi-Operator Active Distributed Antenna Solution for Malls, Venues and Stadiums",0.6482446193695068,N-0001
87,S-0213,Radar-based smart motion and position tracking system,0.6477279663085938,N-0001
88,S-0241,Intelligent Data Platform,0.6475924253463745,N-0001
89,S-0100,Super Massive 3D Model Data Expert,0.6475791335105896,N-0001
90,S-0292,Telepresence and Video Conferencing Solution,0.6473416090011597,N-0001
91,S-0265,Business Process Management Platform,0.6459896564483643,N-0001
92,S-0015,3D Face Re-identification,0.6449080109596252,N-0001
93,S-0096,Clare.AI Asian Language Chatbot Solutions,0.6442837715148926,N-0001
94,S-0248,OFS Website Tracking System,0.6434351801872253,N-0001
95,S-0283,All-in-one Mobile Productivity Platform,0.6429187059402466,N-0001
96,S-0227,Intelligent liquid crystal dimming film,0.6424047946929932,N-0001
97,S-0081,iQ-Road and Traffic Management,0.6414380669593811,N-0001
98,S-0246,Remo Video Conferencing,0.6397703886032104,N-0001
99,S-0232,"""Smart"" Car Park Management System",0.6388362646102905,N-0001
100,S-0134,Smart Building - Energy Management and Optimization Solutions,0.6386334896087646,N-0001
101,S-0110,People Counting System (PCS),0.6381319761276245,N-0001
102,S-0236,Workflow automation solution,0.6376897096633911,N-0001
103,S-0221,AI and IT enhanced learning platform,0.6372109651565552,N-0001
104,S-0129,Automatic ID/Travel Document Recognition and Validation - OCR Solution,0.6352393627166748,N-0001
105,S-0209,Control-M (BMC Software),0.6351547837257385,N-0001
106,S-0202,One card e-payment solution for GBA(Guangdong-hong kong-Macao Greater Bay area),0.6342278718948364,N-0001
107,S-0159,Integrated Smart Film Solutions,0.6330928802490234,N-0001
108,S-0183,An Intelligent Solution for Automatic Processing and Chasing of Documents,0.6323351860046387,N-0001
109,S-0091,Next Generation Growable Optical Networks,0.6320294141769409,N-0001
110,S-0133,PANGA - Data Infrastructure Edge Computing for Smart Cities,0.631719708442688,N-0001
111,S-0223,OceanX Share,0.6284258365631104,N-0001
112,S-0012,"Monitoring and Early Warning System for Holding Concentration, Insider Trading, Short-selling and Stock Price Manipulation",0.6279619932174683,N-0001
113,S-0103,SP-RFID Smart Asset Management System,0.6277286410331726,N-0001
114,S-0115,All-in-one event management software,0.6267557740211487,N-0001
115,S-0256,AIOps (Artificial Intelligence for IT Operations) Solution,0.6262917518615723,N-0001
116,S-0181,Artificial Intelligence Camera Solutions,0.6255501508712769,N-0001
117,S-0164,Relate App,0.6248201727867126,N-0001
118,S-0296,BLOK Pass App for Travel Bubble,0.6247744560241699,N-0001
119,S-0171,Augmented Reality (AR) model,0.6236912608146667,N-0001
120,S-0300,Smart Guiding Robot,0.6194182634353638,N-0001
121,S-0175,Thermal Imaging Body Temperature Measurement Solution,0.6187618374824524,N-0001
122,S-0210,AI Cloud for Smart Construction,0.6180626153945923,N-0001
123,S-0057,Artificial Intelligence Security Surveillance Protection  (AISSP),0.6180306673049927,N-0001
124,S-0074,AI Chiller Plant – Smart Chiller Plant Optimization using Artificial Intelligence,0.617993950843811,N-0001
125,S-0059,EMF Workplaces Evaluation Program,0.6172505617141724,N-0001
126,S-0262,Mobile application development,0.6172000169754028,N-0001
127,S-0051,Insight Driven Organization (IDO),0.6163077354431152,N-0001
128,S-0233,Area monitoring solution using 3D camera with privacy-preserving,0.6159039139747621,N-0001
129,S-0147,Privacy-aware people counting system using Smart Radar sensor,0.6148838400840759,N-0001
130,S-0030,IoT Building Access Control System,0.6144249439239502,N-0001
131,S-0153,Dynatrace,0.614270806312561,N-0001
132,S-0252,Critical Event Management,0.6131666898727417,N-0001
133,S-0150,A.I. Facial Recognition Application for Event Photo Delivery,0.6131056547164917,N-0001
134,S-0121,Chatbot Solution and NLP applications from ZhuiYi Technology,0.6115739941596985,N-0001
135,S-0094,Digital Transformation with Low code development platform,0.6105148792266846,N-0001
136,S-0322,NB-IoT / LoRa Dual-detection Smart Parking Sensing Technology,0.6104723215103149,N-0001
137,S-0032,AI+IAQ Proptech: Zonal object counting by skeleton & form recognition integrated with indoor environmental control and room utilization management,0.6098606586456299,N-0001
138,S-0106,"Smart bin trash collection solution, especially remote area",0.6098353266716003,N-0001
139,S-0075,Altai SuperWiFi Solution,0.6097128987312317,N-0001
140,S-0095,Create Efficient and Simplify Business Processes Using NFC,0.6096341609954834,N-0001
141,S-0249,Robotic Process Automation with A.I. Data Capturing Capability,0.6081223487854004,N-0001
142,S-0080,OceanX Cloud-based Enterprise Content Management (ECM),0.607669472694397,N-0001
143,S-0154,Cisco Stealthwatch Encrypted Traffic Analytics,0.6074578762054443,N-0001
144,S-0132,Mobility Mesh Wi-Fi Application for Smart City,0.6070216298103333,N-0001
145,S-0155,Stella Enterprise Chatbot Builder,0.6060085296630859,N-0001
146,S-0261,DragOnce Platform,0.6053813099861145,N-0001
147,S-0101,​LANDRAY Office Automation (OA) system solutions,0.6044826507568359,N-0001
148,S-0127,Event Management technology,0.6044343709945679,N-0001
149,S-0190,Una Interactive Training Platform,0.6043953895568848,N-0001
150,S-0124,Enterprise Intelligent Assistant,0.6043150424957275,N-0001
151,S-0054,TicketME Blockchain Ticketing Platform,0.6033962965011597,N-0001
152,S-0023,Payment Solution for Housing Authority and Leisure and Cultural Department,0.6031949520111084,N-0001
153,S-0123,Complete Encryption with HSM,0.6024209260940552,N-0001
154,S-0107,POARD Your Presentation Stage,0.6021299362182617,N-0001
155,S-0020,Machines Predictive Maintenance,0.6016521453857422,N-0001
156,S-0013,Public Event Tracking and Early Warning Analysis System,0.6008020043373108,N-0001
157,S-0250,UiPath Automation Platform,0.6005814075469971,N-0001
158,S-0049,Blockchain Solution,0.59959477186203,N-0001
159,S-0026,Knowledge Management Solution (KM Power),0.5992681384086609,N-0001
160,S-0041,A.I. and speech solutions by Nexify and iFLYTEK,0.5990444421768188,N-0001
161,S-0158,Switchable Glass / Film,0.5987143516540527,N-0001
162,S-0229,SonoWatermark,0.597868800163269,N-0001
163,S-0087,Smart Citizen and Employee Self-Services,0.5975877642631531,N-0001
164,S-0238,Rice Robotics,0.5970842838287354,N-0001
165,S-0156,Neo,0.5968204736709595,N-0001
166,S-0126,Self Service Business Intelligence,0.5966343879699707,N-0001
167,S-0240,Multilingual Voice Assistant,0.595612645149231,N-0001
168,S-0142,NetMotion Mobility,0.5931719541549683,N-0001
169,S-0197,WCL Robotic Process Automation Solution,0.5930814743041992,N-0001
170,S-0217,nCloud Fault-Tolerant Geo-distributed Hyperconverged Infrastructure (HCI),0.5926843881607056,N-0001
171,S-0039,iQ-Dwell Time Management System,0.5925166606903076,N-0001
172,S-0180,AR/ VR/ Interactive Design & Development,0.5924510955810547,N-0001
173,S-0017,Falling Alert System for Elderly Care-- Optical Monitoring System (OMS),0.5920746326446533,N-0001
174,S-0114,Worker Insights,0.590894341468811,N-0001
175,S-0157,NLP-powered Chatbot by Xiaomi,0.5904641151428223,N-0001
176,S-0077,Anywhere Networks,0.5897372961044312,N-0001
177,S-0047,Smart Taxpayer Services with Machine Learning,0.5897314548492432,N-0001
178,S-0019,Personalized Education System,0.5892220139503479,N-0001
179,S-0271,Server Data Analysis Service (User & Data),0.5887837409973145,N-0001
180,S-0177,MAD Gaze Smart Glass,0.5884867906570435,N-0001
181,S-0007,Smart Life,0.5865775942802429,N-0001
182,S-0028,ShipAny - First Smart Logistics Gateway for HK Domestic Logistics Service,0.584328293800354,N-0001
183,S-0237,V-K V-OS Cloud Solutions,0.5822056531906128,N-0001
184,S-0168,IXIA Vision ONE (Network Packet Broker),0.5821970701217651,N-0001
185,S-0008,Shape Security - Shape Enterprise Defense,0.5815783739089966,N-0001
186,S-0052,OpenCloud CMP,0.5814697742462158,N-0001
187,S-0090,Smart Employee Learning Management,0.5803878307342529,N-0001
188,S-0244,ServiceNow - ITSM solution,0.5798726677894592,N-0001
189,S-0108,SparkXIO Smart Car Park Management System,0.5781991481781006,N-0001
190,S-0267,Smart Fever Screening System,0.5763010382652283,N-0001
191,S-0165,Health Monitoring System,0.5749587416648865,N-0001
192,S-0139,imVision,0.5741155743598938,N-0001
193,S-0034,Cloud Energy Management Platform,0.5733684301376343,N-0001
194,S-0255,Authgear,0.5727583169937134,N-0001
195,S-0201,Non image base access control,0.5721153020858765,N-0001
196,S-0083,Smart Pharma Packaging,0.5715587139129639,N-0001
197,S-0247,Seclore Digital Rights Management,0.5709519386291504,N-0001
198,S-0170,Nixplay Signage,0.5681977272033691,N-0001
199,S-0163,Ai-Knowie,0.5679512023925781,N-0001
200,S-0073,Enlighted Multi-Features Micro IoT Sensors Solution,0.5677695274353027,N-0001
201,S-0105,Blockchain solution,0.5674274563789368,N-0001
202,S-0273,Talos,0.567412257194519,N-0001
203,S-0014,2D Face Re-identification,0.5671718716621399,N-0001
204,S-0215,Self Check-in system for self-quarantined personal,0.5667936205863953,N-0001
205,S-0111,Smart car park solution,0.565976083278656,N-0001
206,S-0033,ATAL’s Cloud-based Chiller Plant Energy Management Platform (EM-Platform),0.565853476524353,N-0001
207,S-0118,Alteryx,0.5636111497879028,N-0001
208,S-0130,OpenLegacy API factory,0.5635302066802979,N-0001
209,S-0160,Smart glass,0.5623037815093994,N-0001
210,S-0021,ReportNOW,0.561312198638916,N-0001
211,S-0186,Technology of independent intellectual property identity authentication and tracking of close contacts of patients to assist in epidemic prevention and control and return to work,0.5606549978256226,N-0001
212,S-0138,Radware DefensePro and AppWall,0.5605354905128479,N-0001
213,S-0135,ISS Analytics Services,0.5600138902664185,N-0001
214,S-0211,Customised Mobile Application solution,0.5570399761199951,N-0001
215,S-0084,NFC Product Authentication,0.5524966716766357,N-0001
216,S-0188,Data Vaccinator,0.5502794981002808,N-0001
217,S-0069,Citizen Cloud,0.5492605566978455,N-0001
218,S-0173,Go VR Immersive - Hololens 2 Mixed Reality Solution,0.5491276979446411,N-0001
219,S-0282,Chatbot Solution - ccRobot,0.5484332442283629,N-0001
220,S-0104,Litbulb Technologies,0.5483705997467041,N-0001
221,S-0208,Indoor Map and Positioning for Smart City,0.548210084438324,N-0001
222,S-0131,ISS Project Management System,0.5472856760025024,N-0001
223,S-0289,Life Planning & Blockchain,0.5467103123664856,N-0001
224,S-0294,Live Webinar Streaming service,0.5466267466545105,N-0001
225,S-0205,Centrak Quarantine Management Solution,0.5462283492088318,N-0001
226,S-0166,IXIA BREAKINGPOINT,0.5417963266372681,N-0001
227,S-0097,Smart Home e-Health Monitoring and Care System,0.5375900864601135,N-0001
228,S-0280,Digital parking solutions for enterprise (Include online pre booking and payment settle),0.5347472429275513,N-0001
229,S-0191,NoQ E Form registration and quota distribution for massive traffic,0.5336946845054626,N-0001
230,S-0050,Deloitte ASSIST,0.5333534479141235,N-0001
231,S-0264,Smart Parking with Video Analytics,0.5317937731742859,N-0001
232,S-0092,Enable the wireless connectivity for IoT devices,0.5288991332054138,N-0001
233,S-0182,AppProtect+ (RASP) / YESsafe Zero Login (OTP) / AccessMatrix Universal Sign-On (SSO),0.5252776145935059,N-0001
234,S-0098,ECOPLANT Solar Tracking Solar Panel System,0.5252534747123718,N-0001
235,S-0242,Queue-it -  Virtual Waiting Room,0.5182843208312988,N-0001
236,S-0272,Hybrid/ E Bus/ Mini Bus and Ferry Boat,0.5164711475372314,N-0001
237,S-0141,HubSecurity,0.5156710147857666,N-0001
238,S-0172,Earthy,0.515625536441803,N-0001
239,S-0199,V-Key Mobile App Protection,0.5142616033554077,N-0001
240,S-0218,Chief,0.5133693218231201,N-0001
241,S-0222,Agorize Innovation Sourcing Platform,0.5120636224746704,N-0001
242,S-0187,Provide an implementation plan for the Hongkong Financial Secretary's policy of granting HK $10 thousand to permanent residents aged 18 or above.,0.5115587711334229,N-0001
243,S-0040,RVM One Stop Recycling Solution,0.5056049823760986,N-0001
244,S-0212,AI Solution for Outdoor People Counting without invading privacy,0.4998739063739777,N-0001
245,S-0140,Drivelock,0.4995490312576294,N-0001
246,S-0145,Arcserve® Appliance Series,0.4955319166183472,N-0001
247,S-0116,Smart Parking Solution,0.4924112558364868,N-0001
248,S-0207,Pandemic Management System,0.4841717481613159,N-0001
249,S-0144,ZIroh Labs - Advanced Data Privacy and Encryption Technology,0.4808042645454407,N-0001
250,S-0148,Zscaler,0.4773388803005218,N-0001
251,S-0078,Finger Vein PBI (Public Biometric Infrastructure) Platform for Smart City ID Authentication,0.4743082523345947,N-0001
252,S-0279,RoomQ virtual waiting room for massive traffic,0.47388571500778204,N-0001
253,S-0136,Document Authentication,0.4732384085655213,N-0001
254,S-0245,Locobike：Automatic Bicycle Rental System,0.4687955677509308,N-0001
255,S-0287,Siemens Mobility (e-)bike sharing powered by AI,0.464316725730896,N-0001
256,S-0024,Automated Refuse Collection System with 1 chute for multi fractions,0.4620722532272339,N-0001
257,S-0109,Face Recognition Door Access System,0.460497796535492,N-0001
258,S-0048,AI-based Application,0.4559670686721802,N-0001
259,S-0070,Well井 Smart Water Station,0.4512481987476349,N-0001
260,S-0226,"Sky Drone - Autonomous Drone Solution (""Drone-in-a-Box"")",0.44912436604499817,N-0001
261,S-0176,Epidemic prevention and control management system,0.4442349076271057,N-0001
262,S-0062,Parkingbnb,0.4442285597324371,N-0001
263,S-0076,NEC InfoCage FileShell,0.4274563789367676,N-0001
264,S-0086,Micro-Chip 2.0 for pets,0.4145485758781433,N-0001
265,S-0251,Self Service Bike Rental Solution,0.4058057963848114,N-0001
266,S-0146,Promon Shield - Application Protection and Security for IoT & Connected Devices,0.40325051546096796,N-0001
267,S-0193,Dahua Body Temp Measurement Solution,0.4018345773220062,N-0001
268,S-0167,IXIA ThreatARMOR,0.3943512141704559,N-0001
269,S-0042,Smart Water Duct Valve for shared Housing,0.3503682017326355,N-0001
270,S-0189,COVID19 Community Prevention Software System,0.34834662079811096,N-0001
271,S-0178,Motor Insurance DLT Authentication System - MIDAS,0.284245103597641,N-0001
272,S-0260,Mobile platform with handheld devices for on-site inspection and remote work duties,0.7862298488616943,N-0002
273,S-0038,Hybrid Reality Platform,0.7659640312194824,N-0002
274,S-0169,Robotic Assistant,0.76255202293396,N-0002
275,S-0009,Precise And Responsive Indoor Location Tracking,0.7565078139305115,N-0002
276,S-0001,PixelEye Object Detection,0.7556341290473938,N-0002
277,S-0067,AR Smart Glass Assisted for equipment training and O&M,0.7533259391784668,N-0002
278,S-0103,SP-RFID Smart Asset Management System,0.7505930662155151,N-0002
279,S-0044,AI Escalator Safety Monitoring System,0.7503557205200195,N-0002
280,S-0089,Smart Infrastructure Projects Planning and Execution,0.7465348243713379,N-0002
281,S-0254,FormExtractor,0.7448077201843262,N-0002
282,S-0113,Video Analytics Solution,0.7447706460952759,N-0002
283,S-0037,4D Immersive CAVE,0.7446591258049011,N-0002
284,S-0214,ACX Visitor Management System,0.7399744391441345,N-0002
285,S-0002,DataCube Data Intelligent Automation Solution,0.7384223937988281,N-0002
286,S-0035,Document Delivery By Unmanned Vehicle,0.7380645275115967,N-0002
287,S-0152,Datax,0.7327319979667664,N-0002
288,S-0085,SAP Geospatial Asset Management,0.7324950695037842,N-0002
289,S-0031,PowerArena - Smart City Operations Platform,0.7306767106056213,N-0002
290,S-0010,Precise Facility Crowd Analysis,0.7270469665527344,N-0002
291,S-0299,Office Delivery Robot,0.7269766926765442,N-0002
292,S-0259,Software Robotic Solution - iBot,0.7250136137008667,N-0002
293,S-0095,Create Efficient and Simplify Business Processes Using NFC,0.7237818241119385,N-0002
294,S-0196,Personnel and Asset positioning management system,0.7213270664215088,N-0002
295,S-0102,Miovision's Portable Solution for Traffic Data Collection,0.7211955785751343,N-0002
296,S-0275,SMore-OCR,0.7206120491027832,N-0002
297,S-0127,Event Management technology,0.7172638773918152,N-0002
298,S-0252,Critical Event Management,0.7163107991218567,N-0002
299,S-0072,Digital Twin of the City (or Town),0.7162690162658691,N-0002
300,S-0195,SuperAcc Document Intelligence,0.7152153253555298,N-0002
301,S-0029,"Field Services Management System using IoT, GIS and Mobile Technologies",0.7149651050567627,N-0002
302,S-0266,Site Audit and Inspection Recording System,0.7118668556213379,N-0002
303,S-0022,A smart lamp pole system with AI-enabled security system,0.7112780809402466,N-0002
304,S-0129,Automatic ID/Travel Document Recognition and Validation - OCR Solution,0.7105131149291992,N-0002
305,S-0060,FROM Network Audit Programs,0.7100945711135864,N-0002
306,S-0046,SAP Digital Boardroom,0.7076889872550964,N-0002
307,S-0179,"""TeleVoice""  AI Robot Solution for DHS (Demographic and Health Surveys)",0.70671147108078,N-0002
308,S-0219,"VR Virtual Store, Training & Education System",0.7051979899406433,N-0002
309,S-0236,Workflow automation solution,0.7040928602218628,N-0002
310,S-0053,Real-Time Origin-Destination Analysis Tool (RODAT）,0.7038192749023438,N-0002
311,S-0119,Ziizau - Optimization of route design,0.7022839784622192,N-0002
312,S-0006,Centimeter level precision GNSS positioning Android tablet/smartphone,0.7021334171295166,N-0002
313,S-0079,"1/ AccuID, 2/ Pedestrian Analytics, 3/ Vehicle Analytics",0.7011221051216125,N-0002
314,S-0112,Pyxis - The Internet of Things(IoT) Solution for Construction 2.0 and Beyond,0.7009364366531372,N-0002
315,S-0256,AIOps (Artificial Intelligence for IT Operations) Solution,0.6990365982055664,N-0002
316,S-0071,All-in-one Data Center - iDCmini System,0.6985345482826233,N-0002
317,S-0283,All-in-one Mobile Productivity Platform,0.6972126960754395,N-0002
318,S-0016,Cyclops -- Smart City & unmanned store solution,0.6943763494491577,N-0002
319,S-0249,Robotic Process Automation with A.I. Data Capturing Capability,0.6943488121032715,N-0002
320,S-0231,AI Information push service management system,0.6940044164657593,N-0002
321,S-0194,UWB Beacon RTLS Solution,0.6935566663742065,N-0002
322,S-0039,iQ-Dwell Time Management System,0.6933811902999878,N-0002
323,S-0204,DOLPHIN Indoor Positioning Service (IPS),0.6922090649604797,N-0002
324,S-0047,Smart Taxpayer Services with Machine Learning,0.6918050646781921,N-0002
325,S-0243,LiDAR Road Monitoring Solutions based on Deep Learning Technology,0.6907649636268616,N-0002
326,S-0013,Public Event Tracking and Early Warning Analysis System,0.6888227462768555,N-0002
327,S-0032,AI+IAQ Proptech: Zonal object counting by skeleton & form recognition integrated with indoor environmental control and room utilization management,0.6885852813720703,N-0002
328,S-0094,Digital Transformation with Low code development platform,0.6885766983032227,N-0002
329,S-0120,Raspect-ACE,0.6884152889251709,N-0002
330,S-0286,IoT Sensors and Automatic Monitoring System (AMS),0.6882885694503784,N-0002
331,S-0234,Pixel Eye Vision-Based Fall Detection,0.6855539083480835,N-0002
332,S-0220,3D Spatial Intelligence Platform for flow and traffic managements,0.6854271292686462,N-0002
333,S-0216,BMC Helix Service & Operations Management,0.6852196455001831,N-0002
334,S-0137,Splunk,0.6848458051681519,N-0002
335,S-0036,Intelligent Traffic Monitoring,0.6823681592941284,N-0002
336,S-0043,fieldConnect,0.6819819211959839,N-0002
337,S-0100,Super Massive 3D Model Data Expert,0.6816122531890869,N-0002
338,S-0209,Control-M (BMC Software),0.6814260482788086,N-0002
339,S-0003,GeoSpatial Cloud,0.6814011931419373,N-0002
340,S-0028,ShipAny - First Smart Logistics Gateway for HK Domestic Logistics Service,0.6811695098876953,N-0002
341,S-0225,DocAnalyzer - Document Review Solution,0.6800040006637573,N-0002
342,S-0087,Smart Citizen and Employee Self-Services,0.679047167301178,N-0002
343,S-0174,VR Training & Education System,0.6786704063415527,N-0002
344,S-0004,Euclideon Vault - Smart City IOT 3D visualization,0.678598940372467,N-0002
345,S-0063,UHD Multi-Channel Video Live Broadcast,0.6784313917160034,N-0002
346,S-0162,Automate the verification of electronic documents,0.6782188415527344,N-0002
347,S-0203,Government payment scheme online application and data processing,0.6776539087295532,N-0002
348,S-0250,UiPath Automation Platform,0.6749844551086426,N-0002
349,S-0096,Clare.AI Asian Language Chatbot Solutions,0.6748514771461487,N-0002
350,S-0246,Remo Video Conferencing,0.6744773387908936,N-0002
351,S-0253,Intelligent Face Mask,0.6721457242965698,N-0002
352,S-0228,eClass Corporate Learning Management System (LMS),0.67212975025177,N-0002
353,S-0128,Iris by HKT - From Surveillance to Intelligence,0.6715141534805298,N-0002
354,S-0122,"Smart City Solution - IoT, AI, Data Analytics Platform, Control",0.6714159846305847,N-0002
355,S-0065,Smart Mobility,0.6701561212539673,N-0002
356,S-0045,SAP Big Data Solution,0.668480634689331,N-0002
357,S-0180,AR/ VR/ Interactive Design & Development,0.6668756008148193,N-0002
358,S-0090,Smart Employee Learning Management,0.6665772199630737,N-0002
359,S-0049,Blockchain Solution,0.666027843952179,N-0002
360,S-0061,A.I. and Mixed Reality Solution,0.6653372049331665,N-0002
361,S-0239,InterOps Accelerator,0.6631597876548767,N-0002
362,S-0135,ISS Analytics Services,0.6631546020507812,N-0002
363,S-0150,A.I. Facial Recognition Application for Event Photo Delivery,0.6624595522880554,N-0002
364,S-0099,NB IoT Sensor Solution,0.6612004637718201,N-0002
365,S-0110,People Counting System (PCS),0.6611372232437134,N-0002
366,S-0082,A.I. Contact Center and User Engagement Solution,0.6610161662101746,N-0002
367,S-0300,Smart Guiding Robot,0.6608796119689941,N-0002
368,S-0134,Smart Building - Energy Management and Optimization Solutions,0.6608511209487915,N-0002
369,S-0230,STEMHUB Education Platform,0.6604409217834473,N-0002
370,S-0224,OceanX Workflow,0.6599061489105225,N-0002
371,S-0101,​LANDRAY Office Automation (OA) system solutions,0.6597810983657837,N-0002
