Reference Code,Solution Name (Eng),Cosine Similarity
S-0067,AR Smart Glass Assisted for equipment training and O&M,0.6580408811569214
S-0236,Workflow automation solution,0.6558634042739868
S-0239,InterOps Accelerator,0.651591420173645
S-0051,Insight Driven Organization (IDO),0.6480240821838379
S-0082,A.I. Contact Center and User Engagement Solution,0.6473789215087891
S-0164,Relate App,0.6440476775169373
S-0266,Site Audit and Inspection Recording System,0.6427440047264099
S-0015,3D Face Re-identification,0.641080379486084
S-0197,WCL Robotic Process Automation Solution,0.639224112033844
S-0114,Worker Insights,0.6389696598052979
S-0101,​LANDRAY Office Automation (OA) system solutions,0.6378686428070068
S-0053,Real-Time Origin-Destination Analysis Tool (RODAT）,0.6377055048942566
S-0093,DataOS System,0.6374967098236084
S-0002,DataCube Data Intelligent Automation Solution,0.635212242603302
S-0087,Smart Citizen and Employee Self-Services,0.6351594924926758
S-0047,Smart Taxpayer Services with Machine Learning,0.6339964866638184
S-0179,"""TeleVoice""  AI Robot Solution for DHS (Demographic and Health Surveys)",0.6328436136245728
S-0125,"BIM, BMS and IoT Integration",0.6316329836845398
S-0152,Datax,0.6301183104515076
S-0190,Una Interactive Training Platform,0.6259239912033081
S-0244,ServiceNow - ITSM solution,0.6243294477462769
S-0204,DOLPHIN Indoor Positioning Service (IPS),0.6229442358016968
S-0283,All-in-one Mobile Productivity Platform,0.6225996017456055
S-0045,SAP Big Data Solution,0.6223934888839722
S-0254,FormExtractor,0.6223208904266357
S-0049,Blockchain Solution,0.6214170455932617
S-0203,Government payment scheme online application and data processing,0.6194589138031006
S-0023,Payment Solution for Housing Authority and Leisure and Cultural Department,0.6181252002716064
S-0218,Chief,0.6179215312004089
S-0094,Digital Transformation with Low code development platform,0.6157887578010559
S-0022,A smart lamp pole system with AI-enabled security system,0.6150892972946167
S-0129,Automatic ID/Travel Document Recognition and Validation - OCR Solution,0.6147598028182983
S-0052,OpenCloud CMP,0.6074484586715698
S-0241,Intelligent Data Platform,0.6071159243583679
S-0061,A.I. and Mixed Reality Solution,0.6054567098617554
S-0050,Deloitte ASSIST,0.6050511598587036
S-0056,Advanced Contextual Analytic Solution for public enquiries,0.6049073934555054
S-0288,Mixed language Chatbot system with AI and voice functions,0.6044985055923462
S-0214,ACX Visitor Management System,0.6022161245346069
S-0009,Precise And Responsive Indoor Location Tracking,0.6012612581253052
S-0112,Pyxis - The Internet of Things(IoT) Solution for Construction 2.0 and Beyond,0.6010932326316833
S-0262,Mobile application development,0.6010317802429199
S-0210,AI Cloud for Smart Construction,0.6006226539611816
S-0143,Cyberbit,0.5991235375404358
S-0249,Robotic Process Automation with A.I. Data Capturing Capability,0.5987313985824585
S-0074,AI Chiller Plant – Smart Chiller Plant Optimization using Artificial Intelligence,0.5968358516693115
S-0256,AIOps (Artificial Intelligence for IT Operations) Solution,0.5943803787231445
S-0066,Smart Water Management,0.5942006707191467
S-0253,Intelligent Face Mask,0.592354416847229
S-0155,Stella Enterprise Chatbot Builder,0.5904983282089233
S-0196,Personnel and Asset positioning management system,0.5901483297348022
S-0065,Smart Mobility,0.5893988609313965
S-0063,UHD Multi-Channel Video Live Broadcast,0.5889151096343994
S-0039,iQ-Dwell Time Management System,0.5875176191329956
S-0059,EMF Workplaces Evaluation Program,0.5849133729934692
S-0011,Precise Outdoor Crowd Analysis,0.5835421085357666
S-0079,"1/ AccuID, 2/ Pedestrian Analytics, 3/ Vehicle Analytics",0.5828232765197754
S-0161,LiDAR and Optical Sensing applications for Smart City,0.5813344717025757
S-0096,Clare.AI Asian Language Chatbot Solutions,0.5811893939971924
S-0194,UWB Beacon RTLS Solution,0.5807197093963623
S-0032,AI+IAQ Proptech: Zonal object counting by skeleton & form recognition integrated with indoor environmental control and room utilization management,0.5779719948768616
S-0019,Personalized Education System,0.5774320960044861
S-0156,Neo,0.5774134397506714
S-0115,All-in-one event management software,0.5773059129714966
S-0097,Smart Home e-Health Monitoring and Care System,0.577033281326294
S-0124,Enterprise Intelligent Assistant,0.5768014192581177
S-0289,Life Planning & Blockchain,0.5755725502967834
S-0068,Reliability Centered Asset Management - Dynamic (RCAM-dyn),0.5754836201667786
S-0004,Euclideon Vault - Smart City IOT 3D visualization,0.5753282308578491
S-0286,IoT Sensors and Automatic Monitoring System (AMS),0.5752798318862915
S-0099,NB IoT Sensor Solution,0.5696523189544678
S-0013,Public Event Tracking and Early Warning Analysis System,0.5696237087249756
S-0020,Machines Predictive Maintenance,0.5665940046310425
S-0055,Smart City Electric Vehicle (EV) Charging Infrastructure Solution,0.5661560893058777
S-0240,Multilingual Voice Assistant,0.5650529861450195
S-0162,Automate the verification of electronic documents,0.5646034479141235
S-0071,All-in-one Data Center - iDCmini System,0.5634874105453491
S-0235,Pixel Eye Safety Helmets Detection,0.560045599937439
S-0135,ISS Analytics Services,0.5591167211532593
S-0100,Super Massive 3D Model Data Expert,0.5563195943832397
S-0223,OceanX Share,0.5547695159912109
S-0134,Smart Building - Energy Management and Optimization Solutions,0.5534402132034302
S-0299,Office Delivery Robot,0.548926591873169
S-0014,2D Face Re-identification,0.5485532879829407
S-0172,Earthy,0.5482749342918396
S-0095,Create Efficient and Simplify Business Processes Using NFC,0.5475229024887085
S-0139,imVision,0.547244131565094
S-0008,Shape Security - Shape Enterprise Defense,0.5459229350090027
S-0243,LiDAR Road Monitoring Solutions based on Deep Learning Technology,0.5458288788795471
S-0232,"""Smart"" Car Park Management System",0.5429133176803589
S-0006,Centimeter level precision GNSS positioning Android tablet/smartphone,0.5427791476249695
S-0255,Authgear,0.5424854755401611
S-0118,Alteryx,0.5411983728408813
S-0035,Document Delivery By Unmanned Vehicle,0.5407290458679199
S-0267,Smart Fever Screening System,0.5381487011909485
S-0128,Iris by HKT - From Surveillance to Intelligence,0.5368842482566833
S-0222,Agorize Innovation Sourcing Platform,0.536513090133667
S-0080,OceanX Cloud-based Enterprise Content Management (ECM),0.5336087942123413
S-0012,"Monitoring and Early Warning System for Holding Concentration, Insider Trading, Short-selling and Stock Price Manipulation",0.5329099297523499
S-0083,Smart Pharma Packaging,0.531040608882904
S-0075,Altai SuperWiFi Solution,0.5305080413818359
S-0250,UiPath Automation Platform,0.530250608921051
S-0133,PANGA - Data Infrastructure Edge Computing for Smart Cities,0.5299687385559082
S-0043,fieldConnect,0.5288645625114441
S-0106,"Smart bin trash collection solution, especially remote area",0.528265118598938
S-0121,Chatbot Solution and NLP applications from ZhuiYi Technology,0.5222398042678833
S-0205,Centrak Quarantine Management Solution,0.5214847326278687
S-0261,DragOnce Platform,0.5207880735397339
S-0120,Raspect-ACE,0.5187065005302429
S-0102,Miovision's Portable Solution for Traffic Data Collection,0.5184856653213501
S-0282,Chatbot Solution - ccRobot,0.5180732607841492
S-0057,Artificial Intelligence Security Surveillance Protection  (AISSP),0.5172327756881714
S-0296,BLOK Pass App for Travel Bubble,0.5148139595985413
S-0105,Blockchain solution,0.5136520862579346
S-0107,POARD Your Presentation Stage,0.5129930973052979
S-0183,An Intelligent Solution for Automatic Processing and Chasing of Documents,0.5110164284706116
S-0041,A.I. and speech solutions by Nexify and iFLYTEK,0.5065097808837891
S-0084,NFC Product Authentication,0.5051933526992798
S-0213,Radar-based smart motion and position tracking system,0.5047392249107361
S-0273,Talos,0.5046512484550476
S-0007,Smart Life,0.5035712122917175
S-0104,Litbulb Technologies,0.5022094249725342
S-0211,Customised Mobile Application solution,0.5015513300895691
S-0028,ShipAny - First Smart Logistics Gateway for HK Domestic Logistics Service,0.5015321969985962
S-0271,Server Data Analysis Service (User & Data),0.5008642673492432
S-0237,V-K V-OS Cloud Solutions,0.4995400905609131
S-0150,A.I. Facial Recognition Application for Event Photo Delivery,0.4980805516242981
S-0157,NLP-powered Chatbot by Xiaomi,0.49605780839920044
S-0292,Telepresence and Video Conferencing Solution,0.49551767110824585
S-0263,SafeGuard Series,0.49024927616119385
S-0229,SonoWatermark,0.4880750775337219
S-0238,Rice Robotics,0.4863130450248718
S-0048,AI-based Application,0.48630160093307495
S-0202,One card e-payment solution for GBA(Guangdong-hong kong-Macao Greater Bay area),0.4855825901031494
S-0103,SP-RFID Smart Asset Management System,0.48177027702331543
S-0175,Thermal Imaging Body Temperature Measurement Solution,0.48087623715400696
S-0220,3D Spatial Intelligence Platform for flow and traffic managements,0.4807845950126648
S-0186,Technology of independent intellectual property identity authentication and tracking of close contacts of patients to assist in epidemic prevention and control and return to work,0.4778340458869934
S-0081,iQ-Road and Traffic Management,0.4770132601261139
S-0033,ATAL’s Cloud-based Chiller Plant Energy Management Platform (EM-Platform),0.4758990406990051
S-0030,IoT Building Access Control System,0.4735994040966034
S-0054,TicketME Blockchain Ticketing Platform,0.4732649028301239
S-0165,Health Monitoring System,0.4729791283607483
S-0005,Smart Lamp Pole and Robotic,0.4729001522064209
S-0091,Next Generation Growable Optical Networks,0.4718257188796997
S-0234,Pixel Eye Vision-Based Fall Detection,0.4710485637187958
S-0034,Cloud Energy Management Platform,0.4704536199569702
S-0069,Citizen Cloud,0.4702709913253784
S-0247,Seclore Digital Rights Management,0.4684900641441345
S-0123,Complete Encryption with HSM,0.4673668444156647
S-0159,Integrated Smart Film Solutions,0.4653528928756714
S-0131,ISS Project Management System,0.4635728597640991
S-0217,nCloud Fault-Tolerant Geo-distributed Hyperconverged Infrastructure (HCI),0.46262162923812866
S-0021,ReportNOW,0.4599494934082031
S-0145,Arcserve® Appliance Series,0.4586208164691925
S-0040,RVM One Stop Recycling Solution,0.457130491733551
S-0130,OpenLegacy API factory,0.4534282982349396
S-0017,Falling Alert System for Elderly Care-- Optical Monitoring System (OMS),0.4525541365146637
S-0153,Dynatrace,0.4522838890552521
S-0163,Ai-Knowie,0.4518832266330719
S-0294,Live Webinar Streaming service,0.45104649662971497
S-0170,Nixplay Signage,0.44906824827194214
S-0177,MAD Gaze Smart Glass,0.447900652885437
S-0191,NoQ E Form registration and quota distribution for massive traffic,0.4414828419685364
S-0158,Switchable Glass / Film,0.440916508436203
S-0281,"Smart 5G Integrated Multi-Operator Active Distributed Antenna Solution for Malls, Venues and Stadiums",0.43912312388420105
S-0188,Data Vaccinator,0.4347076714038849
S-0215,Self Check-in system for self-quarantined personal,0.43444743752479553
S-0142,NetMotion Mobility,0.4336473345756531
S-0322,NB-IoT / LoRa Dual-detection Smart Parking Sensing Technology,0.43066519498825073
S-0077,Anywhere Networks,0.4297069311141968
S-0111,Smart car park solution,0.42610377073287964
S-0132,Mobility Mesh Wi-Fi Application for Smart City,0.42504483461380005
S-0154,Cisco Stealthwatch Encrypted Traffic Analytics,0.42129382491111755
S-0208,Indoor Map and Positioning for Smart City,0.42128807306289673
S-0138,Radware DefensePro and AppWall,0.42124199867248535
S-0166,IXIA BREAKINGPOINT,0.4197657108306885
S-0227,Intelligent liquid crystal dimming film,0.41975972056388855
S-0242,Queue-it -  Virtual Waiting Room,0.408016562461853
S-0108,SparkXIO Smart Car Park Management System,0.40640658140182495
S-0207,Pandemic Management System,0.40541061758995056
S-0073,Enlighted Multi-Features Micro IoT Sensors Solution,0.4053300619125366
S-0136,Document Authentication,0.39759916067123413
S-0116,Smart Parking Solution,0.3938816785812378
S-0233,Area monitoring solution using 3D camera with privacy-preserving,0.3910231590270996
S-0280,Digital parking solutions for enterprise (Include online pre booking and payment settle),0.3901384472846985
S-0181,Artificial Intelligence Camera Solutions,0.38633453845977783
S-0272,Hybrid/ E Bus/ Mini Bus and Ferry Boat,0.3860172629356384
S-0279,RoomQ virtual waiting room for massive traffic,0.3834037780761719
S-0187,Provide an implementation plan for the Hongkong Financial Secretary's policy of granting HK $10 thousand to permanent residents aged 18 or above.,0.3791988492012024
S-0024,Automated Refuse Collection System with 1 chute for multi fractions,0.37824535369873047
S-0287,Siemens Mobility (e-)bike sharing powered by AI,0.37795162200927734
S-0199,V-Key Mobile App Protection,0.37691575288772583
S-0245,Locobike：Automatic Bicycle Rental System,0.37564074993133545
S-0182,AppProtect+ (RASP) / YESsafe Zero Login (OTP) / AccessMatrix Universal Sign-On (SSO),0.370571494102478
S-0212,AI Solution for Outdoor People Counting without invading privacy,0.3679012656211853
S-0168,IXIA Vision ONE (Network Packet Broker),0.35871079564094543
S-0070,Well井 Smart Water Station,0.35138705372810364
S-0141,HubSecurity,0.34890714287757874
S-0264,Smart Parking with Video Analytics,0.3453870415687561
S-0098,ECOPLANT Solar Tracking Solar Panel System,0.3249770402908325
S-0144,ZIroh Labs - Advanced Data Privacy and Encryption Technology,0.32019248604774475
S-0251,Self Service Bike Rental Solution,0.31386125087738037
S-0092,Enable the wireless connectivity for IoT devices,0.31085270643234253
S-0062,Parkingbnb,0.31000763177871704
S-0140,Drivelock,0.3043091297149658
S-0176,Epidemic prevention and control management system,0.30148690938949585
S-0086,Micro-Chip 2.0 for pets,0.29765111207962036
S-0201,Non image base access control,0.2900603711605072
S-0146,Promon Shield - Application Protection and Security for IoT & Connected Devices,0.28831011056900024
S-0148,Zscaler,0.28378376364707947
S-0078,Finger Vein PBI (Public Biometric Infrastructure) Platform for Smart City ID Authentication,0.27825790643692017
S-0147,Privacy-aware people counting system using Smart Radar sensor,0.2780188322067261
S-0193,Dahua Body Temp Measurement Solution,0.2636808156967163
S-0226,"Sky Drone - Autonomous Drone Solution (""Drone-in-a-Box"")",0.2554795742034912
S-0160,Smart glass,0.252412348985672
S-0109,Face Recognition Door Access System,0.24542854726314545
S-0076,NEC InfoCage FileShell,0.2361055314540863
S-0042,Smart Water Duct Valve for shared Housing,0.18636322021484375
S-0189,COVID19 Community Prevention Software System,0.17371942102909088
S-0167,IXIA ThreatARMOR,0.1599511206150055
S-0178,Motor Insurance DLT Authentication System - MIDAS,0.09364232420921326
